ExclusionID,Nom,Categorie,Description,PackImpacte
EX00001,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 5 des CG.,Eco
EX00002,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 1 des CG.,Tous
EX00003,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 14 des CG.,VIP
EX00004,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 2 des CG.,Silver
EX00005,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 15 des CG.,Gold
EX00006,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 38 des CG.,Business
EX00007,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 17 des CG.,Gold
EX00008,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 21 des CG.,Tous
EX00009,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 16 des CG.,Silver
EX00010,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 37 des CG.,Gold+
EX00011,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 3 des CG.,Gold
EX00012,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 21 des CG.,Silver+
EX00013,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 16 des CG.,VIP
EX00014,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 27 des CG.,Tous
EX00015,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 21 des CG.,VIP
EX00016,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 20 des CG.,Silver+
EX00017,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 22 des CG.,Business
EX00018,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 45 des CG.,VIP
EX00019,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 37 des CG.,Bronze
EX00020,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 40 des CG.,Eco+
EX00021,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 34 des CG.,Tous
EX00022,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 17 des CG.,VIP
EX00023,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 43 des CG.,Silver+
EX00024,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 30 des CG.,Tous
EX00025,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 13 des CG.,Gold+
EX00026,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 27 des CG.,Bronze
EX00027,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 10 des CG.,Premium
EX00028,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 17 des CG.,VIP
EX00029,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 2 des CG.,Premium
EX00030,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 30 des CG.,Eco+
EX00031,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 44 des CG.,Eco+
EX00032,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 9 des CG.,Premium
EX00033,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 41 des CG.,Eco+
EX00034,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 43 des CG.,Silver+
