GarageID,Nom,Ville,CodePostal,AgreeAssureur,Specialite,Note
G0001,Garage Atlas Kénitra,Kénitra,14000,True,Premium,3.3
G0002,Garage Auto Mohammedia,Mohammedia,28800,True,Carrosserie,4.7
G0003,Garage Maghreb Rabat,Rabat,10000,True,Carrosserie,3.8
G0004,Garage Maghreb Marrakech,Marrakech,40000,True,Premium,4.3
G0005,Garage Premium Mohammedia,Mohammedia,28800,True,Carrosserie,3.3
G0006,Garage Express Laâyoune,Laâyoune,70000,True,Mécanique,4.8
G0007,Garage Auto Mohammedia,Mohammedia,28800,True,Premium,4.0
G0008,Garage Atlas Marrakech,Marrakech,40000,True,Premium,4.3
G0009,Garage Express El Jadida,El Jadida,24000,True,Mécanique,3.8
G0010,Garage Express Beni Mellal,Beni Mellal,23000,True,Toutes marques,4.4
G0011,Garage Express Fès,Fès,30000,True,Carrosserie,3.2
G0012,Garage Maghreb El Jadida,El Jadida,24000,False,Toutes marques,4.9
G0013,Garage Express Kénitra,Kénitra,14000,True,Toutes marques,4.7
G0014,Garage Express Tétouan,Tétouan,93000,True,Premium,3.7
G0015,Garage Express Agadir,Agadir,80000,True,Carrosserie,4.0
G0016,Garage Auto Fès,Fès,30000,True,Premium,3.1
G0017,Garage Atlas Errachidia,Errachidia,52000,True,Mécanique,4.6
G0018,Garage Maghreb Laâyoune,Laâyoune,70000,True,Mécanique,4.9
G0019,Garage Auto Agadir,Agadir,80000,False,Premium,4.9
G0020,Garage Auto Meknès,Meknès,50000,False,Carrosserie,3.9
G0021,Garage Premium Settat,Settat,26000,True,Premium,3.4
G0022,Garage Atlas Salé,Salé,11000,True,Premium,3.0
G0023,Garage Maghreb Rabat,Rabat,10000,True,Toutes marques,4.7
G0024,Garage Express Marrakech,Marrakech,40000,True,Carrosserie,4.3
G0025,Garage Express Meknès,Meknès,50000,True,Mécanique,3.5
G0026,Garage Premium Khouribga,Khouribga,25000,True,Toutes marques,3.2
G0027,Garage Auto El Jadida,El Jadida,24000,False,Mécanique,3.9
G0028,Garage Atlas Rabat,Rabat,10000,True,Mécanique,4.5
G0029,Garage Maghreb Fès,Fès,30000,True,Premium,4.1
G0030,Garage Premium Tanger,Tanger,90000,True,Carrosserie,3.9
G0031,Garage Premium Marrakech,Marrakech,40000,True,Toutes marques,4.3
G0032,Garage Atlas Laâyoune,Laâyoune,70000,True,Premium,3.3
G0033,Garage Premium Khouribga,Khouribga,25000,True,Mécanique,4.8
G0034,Garage Premium Agadir,Agadir,80000,True,Mécanique,3.5
G0035,Garage Auto Beni Mellal,Beni Mellal,23000,False,Mécanique,3.3
G0036,Garage Maghreb Tétouan,Tétouan,93000,True,Toutes marques,4.5
G0037,Garage Atlas Rabat,Rabat,10000,False,Premium,3.1
G0038,Garage Atlas Settat,Settat,26000,True,Toutes marques,4.2
G0039,Garage Premium Oujda,Oujda,60000,True,Premium,4.2
G0040,Garage Express Rabat,Rabat,10000,True,Mécanique,4.3
G0041,Garage Express Errachidia,Errachidia,52000,True,Carrosserie,3.4
G0042,Garage Maghreb Salé,Salé,11000,True,Mécanique,3.3
G0043,Garage Premium Tétouan,Tétouan,93000,True,Toutes marques,3.0
G0044,Garage Express Essaouira,Essaouira,44000,True,Toutes marques,4.1
G0045,Garage Auto Settat,Settat,26000,True,Carrosserie,4.8
G0046,Garage Auto Oujda,Oujda,60000,True,Premium,3.9
G0047,Garage Auto Laâyoune,Laâyoune,70000,True,Carrosserie,4.9
G0048,Garage Maghreb Fès,Fès,30000,True,Toutes marques,4.8
G0049,Garage Maghreb Laâyoune,Laâyoune,70000,True,Carrosserie,4.2
G0050,Garage Maghreb Salé,Salé,11000,True,Mécanique,3.5
G0051,Garage Atlas Rabat,Rabat,10000,False,Carrosserie,3.1
G0052,Garage Maghreb Salé,Salé,11000,True,Premium,4.5
G0053,Garage Premium Laâyoune,Laâyoune,70000,True,Toutes marques,3.2
G0054,Garage Express Tanger,Tanger,90000,True,Carrosserie,4.2
G0055,Garage Premium Tanger,Tanger,90000,True,Toutes marques,3.6
G0056,Garage Auto Rabat,Rabat,10000,True,Premium,4.3
G0057,Garage Express Nador,Nador,62000,False,Premium,4.9
G0058,Garage Maghreb Oujda,Oujda,60000,True,Mécanique,3.0
G0059,Garage Premium Salé,Salé,11000,True,Carrosserie,3.3
G0060,Garage Premium Fès,Fès,30000,True,Mécanique,3.4
G0061,Garage Auto Beni Mellal,Beni Mellal,23000,True,Premium,3.4
G0062,Garage Premium Meknès,Meknès,50000,True,Carrosserie,4.7
G0063,Garage Auto Kénitra,Kénitra,14000,False,Carrosserie,4.9
G0064,Garage Auto Fès,Fès,30000,True,Carrosserie,3.1
G0065,Garage Premium Essaouira,Essaouira,44000,True,Carrosserie,3.9
G0066,Garage Atlas Settat,Settat,26000,False,Premium,3.5
G0067,Garage Atlas El Jadida,El Jadida,24000,True,Carrosserie,3.9
G0068,Garage Express Salé,Salé,11000,True,Toutes marques,4.4
G0069,Garage Express Tétouan,Tétouan,93000,True,Mécanique,3.7
G0070,Garage Express Tétouan,Tétouan,93000,True,Premium,3.8
G0071,Garage Maghreb Mohammedia,Mohammedia,28800,True,Mécanique,4.1
G0072,Garage Auto Casablanca,Casablanca,20000,True,Premium,3.9
G0073,Garage Express Errachidia,Errachidia,52000,True,Mécanique,3.9
G0074,Garage Express Meknès,Meknès,50000,False,Premium,4.3
G0075,Garage Express Tétouan,Tétouan,93000,True,Toutes marques,4.6
G0076,Garage Auto Oujda,Oujda,60000,True,Premium,3.3
