ClientID,Pack1,Score1,Pack2,Score2,Pack3,Score3,PrixEstime,Justification
CL000001,Gold,54.0,Gold+,53.9,Business,53.6,21747.2,Le conducteur roule beaucoup. Le pack Gold est recommandé en priorité.
CL000002,Premium,67.1,Silver+,66.7,Bronze,66.5,8995.49,Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000003,Business,86.5,Gold,85.9,Premium,85.9,20076.53,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000004,Eco,68.0,Bronze,67.4,Business,66.5,2975.13,Le pack Eco est recommandé en priorité.
CL000005,Premium,74.5,Gold+,72.8,Gold,72.1,24350.52,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000006,Bronze,68.0,Eco,67.9,Eco+,67.8,9123.96,Le pack Bronze est recommandé en priorité.
CL000007,Gold+,99.0,Premium,99.0,Business,99.0,88752.37,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. Le pack Gold+ est recommandé en priorité.
CL000008,Bronze,66.3,Eco,65.5,Eco+,63.2,5002.07,Le stationnement en garage fermé réduit le risque vol. Le pack Bronze est recommandé en priorité.
CL000009,Eco,67.2,Eco+,66.7,Bronze,50.2,3779.83,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000010,VIP,42.3,Gold,42.0,Premium,42.0,29214.2,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack VIP est recommandé en priorité.
CL000011,Premium,67.2,Gold+,66.7,VIP,66.1,16734.29,Le véhicule possède une forte valeur. Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000012,Gold+,99.0,Business,97.3,Premium,97.2,11015.76,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000013,Gold+,89.2,Gold,84.9,Silver,77.7,27578.91,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le pack Gold+ est recommandé en priorité.
CL000014,Eco+,41.7,Gold+,40.8,VIP,40.6,6472.23,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000015,Silver+,92.4,Business,89.6,Gold,88.2,14888.83,Le conducteur roule beaucoup. Le pack Silver+ est recommandé en priorité.
CL000016,Gold+,76.6,VIP,75.7,Business,75.6,11845.78,Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000017,Bronze,85.1,Eco,84.2,Eco+,82.3,7807.05,Le conducteur roule beaucoup. Le pack Bronze est recommandé en priorité.
CL000018,Business,74.4,Premium,73.6,Bronze,67.4,25555.01,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000019,Gold+,79.1,VIP,78.5,Silver,77.2,13249.69,Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000020,Eco+,51.3,Eco,49.2,Silver+,42.8,4358.08,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le pack Eco+ est recommandé en priorité.
CL000021,Eco,66.3,Bronze,52.3,Eco+,49.7,6245.95,Le conducteur roule beaucoup. Le pack Eco est recommandé en priorité.
CL000022,Business,58.0,Premium,57.2,VIP,53.5,41182.96,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000023,Premium,76.6,Eco+,67.9,Silver+,65.9,16324.79,L'usage professionnel requiert des garanties adaptées. Le pack Premium est recommandé en priorité.
CL000024,Silver+,87.2,Gold+,85.7,Premium,83.9,6961.82,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Silver+ est recommandé en priorité.
CL000025,Eco+,76.4,Eco,74.5,Silver,60.4,5493.5,Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
