ContractID,ClientID,VehicleID,Pack,DateSouscription,DateExpiration,PrimeAnnuelle,PrimeMensuelle,Statut,Franchise,Paiement,Reduction,Taxes,MontantFinal
CT000001,CL000001,VH000001,Business,2025-05-17,2026-05-17,30968.78,2580.73,Résilié,600,Trimestriel,3576.89,3834.86,31226.75
CT000002,CL000001,VH000001,VIP,2024-04-17,2025-04-17,40093.51,3341.13,Actif,500,Trimestriel,4630.8,4964.78,40427.49
CT000003,CL000001,VH000001,Eco+,2019-02-19,2020-02-19,8848.22,737.35,Expiré,2500,Semestriel,1021.97,1095.67,8921.92
CT000004,CL000002,VH000002,Silver,2022-01-25,2023-01-25,5168.85,430.74,Résilié,1800,Trimestriel,498.79,653.81,5323.87
CT000005,CL000002,VH000002,Eco,2021-09-06,2022-09-06,2495.31,207.94,Résilié,3000,Annuel,240.8,315.63,2570.14
CT000006,CL000002,VH000002,Gold+,2019-02-17,2020-02-17,7575.04,631.25,Expiré,1000,Mensuel,730.99,958.17,7802.22
CT000007,CL000002,VH000002,Silver+,2022-07-10,2023-07-10,5792.68,482.72,Résilié,1500,Mensuel,558.99,732.72,5966.41
CT000008,CL000002,VH000002,VIP,2021-04-27,2022-04-27,12922.12,1076.84,Actif,500,Semestriel,1246.98,1634.52,13309.66
CT000009,CL000002,VH000002,Eco,2020-11-24,2021-11-24,2495.31,207.94,Résilié,3000,Mensuel,240.8,315.63,2570.14
CT000010,CL000002,VH000002,Bronze,2024-03-28,2025-03-28,4010.31,334.19,Actif,2000,Mensuel,386.99,507.26,4130.58
CT000011,CL000003,VH000003,Gold,2022-12-26,2023-12-26,12515.1,1042.92,Actif,1200,Mensuel,250.3,1717.07,13981.87
CT000012,CL000003,VH000003,Bronze,2020-05-13,2021-05-13,7220.25,601.69,Actif,2000,Semestriel,144.4,990.62,8066.47
CT000013,CL000004,VH000004,Bronze,2019-03-09,2020-03-08,4546.62,378.88,Résilié,2000,Annuel,352.36,587.2,4781.46
CT000014,CL000004,VH000004,Gold,2020-03-10,2021-03-10,7880.81,656.73,Suspendu,1200,Trimestriel,610.76,1017.81,8287.86
CT000015,CL000004,VH000004,Business,2024-12-09,2025-12-09,11316.04,943.0,Résilié,600,Semestriel,876.99,1461.47,11900.52
CT000016,CL000004,VH000004,Eco+,2020-09-22,2021-09-22,3233.15,269.43,Suspendu,2500,Annuel,250.57,417.56,3400.14
CT000017,CL000005,VH000005,VIP,2023-08-09,2024-08-08,33320.23,2776.69,Suspendu,500,Semestriel,1715.99,4424.59,36028.83
CT000018,CL000005,VH000005,Gold+,2018-12-23,2019-12-23,19532.55,1627.71,Résilié,1000,Mensuel,1005.93,2593.73,21120.35
CT000019,CL000005,VH000005,Business,2023-09-25,2024-09-24,25737.0,2144.75,Actif,600,Trimestriel,1325.46,3417.62,27829.16
CT000020,CL000005,VH000005,Premium,2022-05-05,2023-05-05,22519.88,1876.66,Actif,800,Annuel,1159.77,2990.42,24350.53
CT000021,CL000005,VH000005,VIP,2024-03-14,2025-03-14,33320.23,2776.69,Actif,500,Semestriel,1715.99,4424.59,36028.83
CT000022,CL000005,VH000005,Silver,2024-09-28,2025-09-28,13328.09,1110.67,Expiré,1800,Mensuel,686.4,1769.84,14411.53
CT000023,CL000005,VH000005,VIP,2019-06-07,2020-06-06,33320.23,2776.69,Actif,500,Trimestriel,1715.99,4424.59,36028.83
CT000024,CL000006,VH000006,Silver,2022-01-09,2023-01-09,11809.48,984.12,Expiré,1800,Mensuel,1493.9,1444.18,11759.76
CT000025,CL000006,VH000006,VIP,2024-11-27,2025-11-27,29523.71,2460.31,Résilié,500,Semestriel,3734.75,3610.45,29399.41
CT000026,CL000006,VH000006,Gold+,2020-09-06,2021-09-06,17307.0,1442.25,Actif,1000,Semestriel,2189.34,2116.47,17234.13
CT000027,CL000006,VH000006,Bronze,2025-05-13,2026-05-13,9162.53,763.54,Expiré,2000,Semestriel,1159.06,1120.49,9123.96
CT000028,CL000006,VH000006,Premium,2023-03-04,2024-03-03,19953.95,1662.83,Actif,800,Annuel,2524.17,2440.17,19869.95
CT000029,CL000007,VH000007,Gold+,2018-11-14,2019-11-14,83398.99,6949.92,Actif,1000,Semestriel,5546.03,10899.41,88752.37
CT000030,CL000007,VH000007,Silver,2024-10-04,2025-10-04,56907.55,4742.3,Expiré,1800,Trimestriel,3784.35,7437.25,60560.45
CT000031,CL000007,VH000007,Eco+,2024-07-03,2025-07-03,31397.27,2616.44,Actif,2500,Trimestriel,2087.92,4103.31,33412.66
CT000032,CL000007,VH000007,Gold,2020-02-16,2021-02-15,76530.84,6377.57,Résilié,1200,Mensuel,5089.3,10001.82,81443.36
CT000033,CL000007,VH000007,Premium,2018-04-12,2019-04-12,96154.13,8012.84,Actif,800,Semestriel,6394.25,12566.38,102326.26
CT000034,CL000007,VH000007,Gold,2019-01-19,2020-01-19,76530.84,6377.57,Résilié,1200,Trimestriel,5089.3,10001.82,81443.36
CT000035,CL000008,VH000008,Gold+,2020-09-26,2021-09-26,8770.4,730.87,Expiré,1000,Trimestriel,482.37,1160.32,9448.35
CT000036,CL000008,VH000008,Premium,2021-03-10,2022-03-10,10111.75,842.65,Expiré,800,Mensuel,556.15,1337.78,10893.38
CT000037,CL000009,VH000009,Eco,2024-07-09,2025-07-09,3800.16,316.68,Actif,3000,Mensuel,484.52,464.19,3779.83
CT000038,CL000009,VH000009,Silver+,2021-12-12,2022-12-12,8821.79,735.15,Résilié,1500,Mensuel,1124.78,1077.58,8774.59
CT000039,CL000009,VH000009,Eco,2019-11-16,2020-11-15,3800.16,316.68,Suspendu,3000,Mensuel,484.52,464.19,3779.83
CT000040,CL000009,VH000009,Silver+,2018-10-08,2019-10-08,8821.79,735.15,Résilié,1500,Semestriel,1124.78,1077.58,8774.59
CT000041,CL000009,VH000009,Gold+,2022-10-10,2023-10-10,11536.19,961.35,Suspendu,1000,Semestriel,1470.86,1409.15,11474.48
CT000042,CL000009,VH000009,Gold+,2021-08-22,2022-08-22,11536.19,961.35,Expiré,1000,Mensuel,1470.86,1409.15,11474.48
CT000043,CL000010,VH000010,Silver,2025-02-28,2026-02-28,11129.86,927.49,Expiré,1800,Semestriel,879.26,1435.08,11685.68
CT000044,CL000010,VH000010,VIP,2021-05-01,2022-05-01,27824.64,2318.72,Expiré,500,Semestriel,2198.15,3587.71,29214.2
CT000045,CL000010,VH000010,Gold,2020-01-20,2021-01-19,14967.74,1247.31,Expiré,1200,Semestriel,1182.45,1929.94,15715.23
CT000046,CL000011,VH000011,Gold,2020-01-23,2021-01-22,11879.46,989.95,Actif,1200,Annuel,196.01,1635.68,13319.13
CT000047,CL000011,VH000011,Gold,2020-01-09,2021-01-08,11879.46,989.95,Suspendu,1200,Trimestriel,196.01,1635.68,13319.13
CT000048,CL000011,VH000011,Eco,2025-02-08,2026-02-08,4264.42,355.37,Actif,3000,Trimestriel,70.36,587.17,4781.23
CT000049,CL000011,VH000011,VIP,2018-11-03,2019-11-03,22083.61,1840.3,Actif,500,Mensuel,364.38,3040.69,24759.92
CT000050,CL000011,VH000011,Business,2018-06-30,2019-06-30,17057.69,1421.47,Actif,600,Trimestriel,281.45,2348.67,19124.91
CT000051,CL000011,VH000011,Eco+,2019-01-14,2020-01-14,4873.62,406.13,Expiré,2500,Mensuel,80.41,671.05,5464.26
CT000052,CL000011,VH000011,Gold+,2024-03-07,2025-03-07,12945.56,1078.8,Actif,1000,Mensuel,213.6,1782.47,14514.43
