FAQID,Question,Categorie,Reponse,Tags,Priorite
FAQ00001,Quel est le délai de déclaration d'un sinistre ?,Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00001.","Délais,assurance auto,Maroc",4
FAQ00002,Comment fonctionne le bonus-malus ?,Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00002.","Bonus Malus,assurance auto,Maroc",1
FAQ00003,Puis-je assurer une voiture neuve ?,Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00003.","Souscription,assurance auto,Maroc",2
FAQ00004,Quelle franchise choisir ?,Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00004.,"Franchise,assurance auto,Maroc",3
FAQ00005,Comment résilier mon contrat ?,Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00005.,"Résiliation,assurance auto,Maroc",5
FAQ00006,Le vol est-il couvert ?,Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00006.","Garanties,assurance auto,Maroc",4
FAQ00007,Quels documents pour souscrire ?,Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00007.","Souscription,assurance auto,Maroc",1
FAQ00008,Puis-je payer mensuellement ?,Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00008.","Paiement,assurance auto,Maroc",3
FAQ00009,Comment contester un refus d'indemnisation ?,Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00009.,"Réclamations,assurance auto,Maroc",1
FAQ00010,Comment déclarer un sinistre ?,Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00010.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00011,Quel est le délai de déclaration d'un sinistre ? (variante 11),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00011.","Délais,assurance auto,Maroc",2
FAQ00012,Comment fonctionne le bonus-malus ? (variante 12),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00012.","Bonus Malus,assurance auto,Maroc",5
FAQ00013,Puis-je assurer une voiture neuve ? (variante 13),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00013.","Souscription,assurance auto,Maroc",2
FAQ00014,Quelle franchise choisir ? (variante 14),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00014.,"Franchise,assurance auto,Maroc",4
FAQ00015,Comment résilier mon contrat ? (variante 15),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00015.,"Résiliation,assurance auto,Maroc",2
FAQ00016,Le vol est-il couvert ? (variante 16),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00016.","Garanties,assurance auto,Maroc",4
FAQ00017,Quels documents pour souscrire ? (variante 17),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00017.","Souscription,assurance auto,Maroc",5
FAQ00018,Puis-je payer mensuellement ? (variante 18),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00018.","Paiement,assurance auto,Maroc",4
FAQ00019,Comment contester un refus d'indemnisation ? (variante 19),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00019.,"Réclamations,assurance auto,Maroc",3
FAQ00020,Comment déclarer un sinistre ? (variante 20),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00020.,"Déclaration sinistre,assurance auto,Maroc",2
FAQ00021,Quel est le délai de déclaration d'un sinistre ? (variante 21),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00021.","Délais,assurance auto,Maroc",2
FAQ00022,Comment fonctionne le bonus-malus ? (variante 22),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00022.","Bonus Malus,assurance auto,Maroc",2
FAQ00023,Puis-je assurer une voiture neuve ? (variante 23),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00023.","Souscription,assurance auto,Maroc",3
FAQ00024,Quelle franchise choisir ? (variante 24),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00024.,"Franchise,assurance auto,Maroc",1
FAQ00025,Comment résilier mon contrat ? (variante 25),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00025.,"Résiliation,assurance auto,Maroc",2
FAQ00026,Le vol est-il couvert ? (variante 26),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00026.","Garanties,assurance auto,Maroc",5
FAQ00027,Quels documents pour souscrire ? (variante 27),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00027.","Souscription,assurance auto,Maroc",5
FAQ00028,Puis-je payer mensuellement ? (variante 28),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00028.","Paiement,assurance auto,Maroc",5
FAQ00029,Comment contester un refus d'indemnisation ? (variante 29),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00029.,"Réclamations,assurance auto,Maroc",2
FAQ00030,Comment déclarer un sinistre ? (variante 30),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00030.,"Déclaration sinistre,assurance auto,Maroc",2
FAQ00031,Quel est le délai de déclaration d'un sinistre ? (variante 31),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00031.","Délais,assurance auto,Maroc",4
FAQ00032,Comment fonctionne le bonus-malus ? (variante 32),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00032.","Bonus Malus,assurance auto,Maroc",3
FAQ00033,Puis-je assurer une voiture neuve ? (variante 33),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00033.","Souscription,assurance auto,Maroc",2
FAQ00034,Quelle franchise choisir ? (variante 34),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00034.,"Franchise,assurance auto,Maroc",5
FAQ00035,Comment résilier mon contrat ? (variante 35),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00035.,"Résiliation,assurance auto,Maroc",1
FAQ00036,Le vol est-il couvert ? (variante 36),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00036.","Garanties,assurance auto,Maroc",2
FAQ00037,Quels documents pour souscrire ? (variante 37),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00037.","Souscription,assurance auto,Maroc",3
FAQ00038,Puis-je payer mensuellement ? (variante 38),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00038.","Paiement,assurance auto,Maroc",5
FAQ00039,Comment contester un refus d'indemnisation ? (variante 39),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00039.,"Réclamations,assurance auto,Maroc",1
FAQ00040,Comment déclarer un sinistre ? (variante 40),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00040.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00041,Quel est le délai de déclaration d'un sinistre ? (variante 41),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00041.","Délais,assurance auto,Maroc",4
FAQ00042,Comment fonctionne le bonus-malus ? (variante 42),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00042.","Bonus Malus,assurance auto,Maroc",2
FAQ00043,Puis-je assurer une voiture neuve ? (variante 43),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00043.","Souscription,assurance auto,Maroc",5
FAQ00044,Quelle franchise choisir ? (variante 44),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00044.,"Franchise,assurance auto,Maroc",1
FAQ00045,Comment résilier mon contrat ? (variante 45),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00045.,"Résiliation,assurance auto,Maroc",5
FAQ00046,Le vol est-il couvert ? (variante 46),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00046.","Garanties,assurance auto,Maroc",3
FAQ00047,Quels documents pour souscrire ? (variante 47),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00047.","Souscription,assurance auto,Maroc",3
