GarantieID,Nom,Pack,Plafond,Franchise,Description,Active
GA00001,Dommages corporels du conducteur jusqu'à 500 000 MAD,VIP,200000,2000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00002,Bris de glace sans franchise limité à 2 sinistres/an,Eco,500000,2000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00003,Assistance 0 km 24h/24 au Maroc et en Europe,Bronze,999999,3000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00004,Véhicule de remplacement 7 jours en cas d'accident,Silver+,500000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00005,Protection juridique jusqu'à 15 000 MAD,Gold+,200000,1500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00006,Catastrophes naturelles et technologiques,Gold+,200000,1000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00007,Dommages tous accidents avec franchise modulable,Gold+,999999,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00008,Incendie et explosion du véhicule,Bronze,50000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00009,Vol avec effraction et agression,Premium,100000,500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00010,Responsabilité civile illimitée en dommages corporels,Gold+,999999,0,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00011,Dommages corporels du conducteur jusqu'à 500 000 MAD,Silver+,50000,1500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00012,Bris de glace sans franchise limité à 2 sinistres/an,Eco,500000,0,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00013,Assistance 0 km 24h/24 au Maroc et en Europe,Gold+,500000,1000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00014,Véhicule de remplacement 7 jours en cas d'accident,Eco+,999999,500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00015,Protection juridique jusqu'à 15 000 MAD,Gold,200000,2000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00016,Catastrophes naturelles et technologiques,Silver,50000,0,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00017,Dommages tous accidents avec franchise modulable,Business,500000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00018,Incendie et explosion du véhicule,Bronze,200000,1000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00019,Vol avec effraction et agression,Gold+,999999,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00020,Responsabilité civile illimitée en dommages corporels,Eco+,500000,500,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00021,Dommages corporels du conducteur jusqu'à 500 000 MAD,VIP,999999,1500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00022,Bris de glace sans franchise limité à 2 sinistres/an,VIP,100000,500,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00023,Assistance 0 km 24h/24 au Maroc et en Europe,Eco+,200000,3000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00024,Véhicule de remplacement 7 jours en cas d'accident,Silver+,500000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00025,Protection juridique jusqu'à 15 000 MAD,Silver,999999,3000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00026,Catastrophes naturelles et technologiques,Silver+,200000,1500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00027,Dommages tous accidents avec franchise modulable,Silver,50000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00028,Incendie et explosion du véhicule,Gold,500000,0,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00029,Vol avec effraction et agression,Premium,100000,0,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00030,Responsabilité civile illimitée en dommages corporels,Eco,500000,0,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00031,Dommages corporels du conducteur jusqu'à 500 000 MAD,Premium,500000,0,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00032,Bris de glace sans franchise limité à 2 sinistres/an,Eco+,100000,1000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00033,Assistance 0 km 24h/24 au Maroc et en Europe,Eco,500000,2000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00034,Véhicule de remplacement 7 jours en cas d'accident,Bronze,500000,500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00035,Protection juridique jusqu'à 15 000 MAD,Business,200000,1500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00036,Catastrophes naturelles et technologiques,Silver,50000,1000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00037,Dommages tous accidents avec franchise modulable,Silver+,100000,3000,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00038,Incendie et explosion du véhicule,Silver,100000,3000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00039,Vol avec effraction et agression,Gold,100000,1500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00040,Responsabilité civile illimitée en dommages corporels,Silver+,999999,2000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00041,Dommages corporels du conducteur jusqu'à 500 000 MAD,Gold,999999,1000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00042,Bris de glace sans franchise limité à 2 sinistres/an,Gold,100000,1000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00043,Assistance 0 km 24h/24 au Maroc et en Europe,Eco,500000,500,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00044,Véhicule de remplacement 7 jours en cas d'accident,Premium,50000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00045,Protection juridique jusqu'à 15 000 MAD,Silver+,50000,500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00046,Catastrophes naturelles et technologiques,Gold+,999999,1500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00047,Dommages tous accidents avec franchise modulable,Silver,500000,1500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00048,Incendie et explosion du véhicule,Silver+,100000,1000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00049,Vol avec effraction et agression,Eco,100000,3000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00050,Responsabilité civile illimitée en dommages corporels,Eco,500000,1000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00051,Dommages corporels du conducteur jusqu'à 500 000 MAD,Gold,500000,1500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
