Categorie,DocumentID,Titre,Ville,Vehicule,Pack
Sinistres,DOCSIN0001,Procédure sinistre collision matérielle,Larache,Kia Sportage,Business
Sinistres,DOCSIN0002,Procédure sinistre collision matérielle,Oujda,Fiat Tipo,Silver
Sinistres,DOCSIN0003,Procédure sinistre collision matérielle,Taza,Suzuki Vitara,Bronze
Sinistres,DOCSIN0004,Procédure sinistre collision matérielle,Casablanca,Fiat Tipo,Business
Sinistres,DOCSIN0005,Procédure sinistre collision matérielle,Marrakech,Volkswagen Polo,Eco+
Sinistres,DOCSIN0006,Procédure sinistre collision matérielle,Fès,Suzuki Vitara,Gold
Sinistres,DOCSIN0007,Procédure sinistre collision matérielle,El Jadida,Nissan Micra,Silver
Sinistres,DOCSIN0008,Procédure sinistre collision matérielle,Meknès,Volkswagen Polo,Bronze
Sinistres,DOCSIN0009,Procédure sinistre collision matérielle,Larache,Suzuki Vitara,Silver
Sinistres,DOCSIN0010,Procédure sinistre collision matérielle,Béni Mellal,Fiat Tipo,Bronze
Sinistres,DOCSIN0011,Procédure sinistre vol intégral,Larache,Toyota Corolla,Eco+
Sinistres,DOCSIN0012,Procédure sinistre vol intégral,Agadir,Dacia Sandero,Gold
Sinistres,DOCSIN0013,Procédure sinistre vol intégral,Kénitra,Volkswagen Tiguan,Business
Sinistres,DOCSIN0014,Procédure sinistre vol intégral,Oujda,Peugeot 208,Bronze
Sinistres,DOCSIN0015,Procédure sinistre vol intégral,Casablanca,Peugeot 301,Eco+
Sinistres,DOCSIN0016,Procédure sinistre vol intégral,El Jadida,Toyota RAV4,Business
Sinistres,DOCSIN0017,Procédure sinistre vol intégral,Settat,Toyota Corolla,Bronze
Sinistres,DOCSIN0018,Procédure sinistre vol intégral,Agadir,Renault Symbol,Eco+
Sinistres,DOCSIN0019,Procédure sinistre vol intégral,Meknès,Dacia Duster,Bronze
Sinistres,DOCSIN0020,Procédure sinistre vol intégral,Fès,Fiat Tipo,Gold
Sinistres,DOCSIN0021,Procédure sinistre vol partiel (accessoires),Safi,Citroën C-Elysée,Silver
Sinistres,DOCSIN0022,Procédure sinistre vol partiel (accessoires),Nador,Renault Clio,Eco+
Sinistres,DOCSIN0023,Procédure sinistre vol partiel (accessoires),Tétouan,Toyota RAV4,Gold
Sinistres,DOCSIN0024,Procédure sinistre vol partiel (accessoires),Khouribga,Hyundai Accent,Silver
Sinistres,DOCSIN0025,Procédure sinistre vol partiel (accessoires),Kénitra,Citroën C-Elysée,Silver
Sinistres,DOCSIN0026,Procédure sinistre vol partiel (accessoires),Safi,Toyota Corolla,Business
Sinistres,DOCSIN0027,Procédure sinistre vol partiel (accessoires),Rabat,Citroën C-Elysée,Gold
Sinistres,DOCSIN0028,Procédure sinistre vol partiel (accessoires),Khouribga,Dacia Duster,Gold
Sinistres,DOCSIN0029,Procédure sinistre vol partiel (accessoires),Béni Mellal,Suzuki Vitara,Bronze
Sinistres,DOCSIN0030,Procédure sinistre vol partiel (accessoires),Larache,Citroën C-Elysée,Eco+
Sinistres,DOCSIN0031,Procédure sinistre incendie,Nador,Citroën C-Elysée,Eco+
Sinistres,DOCSIN0032,Procédure sinistre incendie,Tanger,Volkswagen Tiguan,Eco+
Sinistres,DOCSIN0033,Procédure sinistre incendie,Oujda,Citroën C3,Eco+
Sinistres,DOCSIN0034,Procédure sinistre incendie,Béni Mellal,Dacia Sandero,Silver
Sinistres,DOCSIN0035,Procédure sinistre incendie,Tétouan,Dacia Logan,Silver
Sinistres,DOCSIN0036,Procédure sinistre incendie,Mohammédia,Renault Clio,Silver
Sinistres,DOCSIN0037,Procédure sinistre incendie,Casablanca,Renault Clio,Bronze
Sinistres,DOCSIN0038,Procédure sinistre incendie,Marrakech,Suzuki Vitara,Eco+
Sinistres,DOCSIN0039,Procédure sinistre incendie,Larache,Seat Ibiza,Bronze
Sinistres,DOCSIN0040,Procédure sinistre incendie,Settat,Citroën C3,Gold
Sinistres,DOCSIN0041,Procédure sinistre bris de glace,Casablanca,Seat Ibiza,Bronze
Sinistres,DOCSIN0042,Procédure sinistre bris de glace,Casablanca,Dacia Sandero,Silver
Sinistres,DOCSIN0043,Procédure sinistre bris de glace,Khouribga,Honda Civic,Bronze
Sinistres,DOCSIN0044,Procédure sinistre bris de glace,Casablanca,Citroën C3,Business
